실적일,티커,회사명,섹터,예상EPS,Forward_PER,매출_YoY%
07/22,GOOGL,Alphabet Inc.,Communication Services,14.64894,23.67202,0.218
07/22,TSLA,"Tesla, Inc.",Consumer Cyclical,2.5541,149.10927,0.158
07/28,V,Visa Inc.,Financial Services,14.86777,24.116596,0.171
07/29,MSFT,Microsoft Corporation,Technology,19.37648,20.324642,0.183
07/29,META,"Meta Platforms, Inc.",Communication Services,36.32896,17.782232,0.331
07/30,AAPL,Apple Inc.,Technology,9.63869,34.625034,0.166
07/30,AMZN,"Amazon.com, Inc.",Consumer Cyclical,9.92327,24.914165,0.166
07/30,MA,Mastercard Incorporated,Financial Services,22.79232,23.850138,0.158
